Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
zombieSpider,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieSpiderFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieSpiderRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieSteve,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieSteveCrawler,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieSteveCrawlerFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieSteveCrawlerRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieSteveFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieSteveRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieTomClark,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieTomClarkFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieTomClarkRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieUtilityWorker,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieUtilityWorkerFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieUtilityWorkerRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieWight,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieWightFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieWightRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieYo,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieYoFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieYoRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
